yt_id;q_id;videoname
LisBmGk1koY;Q5598;Rembrandt's Self-Portraits
sQpAYcxSVEg;Q18222055;Ingres, Princesse de Broglie
aj2el_owSg4;Q54647365;Il Ges—, including Triumph of the Name of Jesus ceiling fresco
hH1a1v1JNAk;Q18688316;C‚zanne, Still Life with Apples, 1895-98 (MoMA)
JbWGusfynCw;Q235242;Michelangelo, Piet…
CXsstWSXh68;Q18222088;Ingres, Raphael and the Fornarina
lnJRkY0mZh4;Q18552705;Boucher, Madame de Pompadour
Pu1WCHsYfKQ;Q26692914;Duccio, The Virgin and Child with Saints Dominic and Aurea
pQu1RMIkg3c;Q4091893;Paul Gauguin, Nevermore, 1897
GlkqvEOYicA;Q7160828;Dyce, Pegwell Bay, Kent - a Recollection of October 5th, 1858
OQEWArXaCeg;Q2388965;Drer, Self-portrait (1498)
3Lawz8TcPig;Q1150997;Goya, Saturn Devouring His Son
dNoeLF6I52s;Q123935;Vel zquez, Los Borrachos or the Triumph of Bacchus
w6DDMwsyQaA;Q11918714;Raphael, Portrait of Pope Julius II
L4F2lgyi7FA;Q2471531;Virgin and Child with St Anne and St John the Baptist (Burlington House Cartoon)
qoHva5i85Qo;Q247282;Vel zquez, Vulcan's Forge
lXfzq27fGvU;Q19887611;Warhol, Gold Marilyn Monroe
iDBJK0y8vb0;Q1133821;Delacroix, The Death of Sardanapalus
CyNjK7dv-IM;Q2290433;Delacroix, Scene of the Massacre at Chios
Dk1nuM5JKqQ;Q1368055;Millet, The Gleaners
Iics7KH_rLE;Q1212084;Monet, The Argenteuil Bridge
ZSh1ksh1iO4;Q3066077;Antoine or Louis Le Nain, Peasant Family in an Interior
Manet, The Balcony;Q775407;Manet, The Balcony
fbwW9mHFcgk;Q2843410;Rubens, Arrival (or Disembarkation) of Marie de Medici at Marseilles, Medici Cycle
sv9CHsd546Q;Q2343778;Raphael, La belle jardiniŠre
wsL4Uh0BrQw;Q32496;Rembrandt, Bathsheba at her Bath
_HqB5XkNe3I;Q382056;Pont-Aven School
_p2eKsaMsZs;Q724976;Ashcan School
_tw51Eh9vcw;Q478717;Amsterdam Impressionism
6qr7cdpGDRo;Q134147;pop art
7hqzexxZqRc;Q102932;avant-garde
8HDbSXNMl0o;Q131221;Futurism
cump0Nxteb4;Q10857409;Realism
cump0Nxteb4;Q2642826;Realism
dwJmO3I9lWw;Q661566;Dutch Golden Age
fH1uXlm9qoQ;Q39427;Surrealism
h0pVXdwMNrc;Q530936;Spanish Golden Age
iLsejn0h-9o;Q122960;rococo
JhJnct0pJJQ;Q934618;Danish Golden Age
kuOonogw-TM;Q40415;Impressionism
lSAEeu4hr0c;Q3773653;German Gothic
lSAEeu4hr0c;Q46825;Gothic art
lSAEeu4hr0c;Q947129;Gothic painting
lSAEeu4hr0c;Q186363;Gothic Revival architecture
lSAEeu4hr0c;Q1277524;Gothic sculpture
MLhDLL3MjSs;Q80113;Expressionism
OddPuDu4P2M;Q117035;Der Blaue Reiter
OK2L5UiDWCs;Q173782;Art Deco
P4luPnObQYo;Q34636;Art Nouveau
pe4xm2XwSEA;Q177725;abstract expressionism
Q7tnXapmJ3M;Q751880;japonism
S_q-JrkPVjw;Q55995;naturalism
S_q-JrkPVjw;Q55996;naturalism
u60MtHRWW4w;Q263985;romantic nationalism
u60MtHRWW4w;Q3088366;Romantic painting
u60MtHRWW4w;Q37068;Romanticism
UOSvUfbPHpY;Q207445;De Stijl
UOSvUfbPHpY;Q14378;neoclassicism
UOSvUfbPHpY;Q845421;Neoplasticism
xf2G2Il8crw;Q2632089;Dutch and Flemish Renaissance painting
xf2G2Il8crw;Q1472236;Early Renaissance
xf2G2Il8crw;Q2349908;French Renaissance
xf2G2Il8crw;Q2455000;German Renaissance
xf2G2Il8crw;Q1474884;High Renaissance
xf2G2Il8crw;Q1404472;Italian Renaissance
xf2G2Il8crw;Q610877;Northern Renaissance
xf2G2Il8crw;Q979160;Proto-Renaissance
